Date,TV,Radio,Newspaper,Sales
2/1/2019,193.2,18.4,65.7,404
3/1/2019,76.3,27.5,16,240
4/1/2019,110.7,40.6,63.2,320
5/1/2019,88.3,25.5,73.4,258
6/1/2019,109.8,47.8,51.4,334
7/1/2019,134.3,4.9,9.3,280
8/1/2019,28.6,1.5,33,146
9/1/2019,217.7,33.5,59,388
10/1/2019,250.9,36.5,72.3,444
11/1/2019,107.4,14,10.9,230
12/1/2019,163.3,31.6,52.9,338
1/1/2020,197.6,3.5,5.9,334
2/1/2020,184.9,21,22,410
3/1/2020,289.7,42.3,51.2,508
4/1/2020,135.2,41.7,45.9,344
5/1/2020,222.4,4.3,49.8,334
6/1/2020,296.4,36.3,100.9,476
7/1/2020,280.2,10.1,21.4,396
8/1/2020,187.9,17.2,17.9,394
9/1/2020,238.2,34.3,5.3,414
10/1/2020,137.9,46.4,59,300
11/1/2020,25,11,,144
12/1/2020,90.4,0.3,,240
1/1/2021,13.1,0.4,25.6,106
2/1/2021,255.4,26.9,5.5,396
3/1/2021,225.8,8.2,56.5,368
4/1/2021,241.7,38,23.2,436
5/1/2021,175.7,15.4,2.4,342
6/1/2021,209.6,20.6,10.7,418
7/1/2021,78.2,46.8,,292
8/1/2021,75.1,35,52.7,252
9/1/2021,139.2,14.3,25.6,244
10/1/2021,76.4,0.8,,188
11/1/2021,125.7,36.9,79.2,318
12/1/2021,19.4,16,22.3,132
1/1/2022,141.3,26.8,46.2,310
2/1/2022,18.8,21.7,50.4,140
3/1/2022,224,2.4,15.6,332
4/1/2022,123.1,34.6,12.4,304
5/1/2022,229.5,32.3,74.2,394
6/1/2022,87.2,11.8,25.9,212
7/1/2022,7.8,38.9,50.6,132
8/1/2022,80.2,0,9.2,238
9/1/2022,220.3,49,3.2,494
10/1/2022,59.6,12,43.1,194
11/1/2022,0.7,39.6,8.7,32
12/1/2022,265.2,2.9,43,354
1/1/2023,8.4,27.2,2.1,114
2/1/2023,219.8,33.5,45.1,392
3/1/2023,36.9,38.6,65.6,216
4/1/2023,48.3,47,8.5,232
5/1/2023,25.6,39,9.3,190
6/1/2023,273.7,28.9,59.7,200.8
7/1/2023,43,25.9,20.5,209.6
8/1/2023,184.9,43.9,1.7,120.7
9/1/2023,73.4,17,12.9,210.9
10/1/2023,193.7,35.4,75.6,319.2
11/1/2023,220.5,33.2,37.9,220.1
12/1/2023,104.6,5.7,34.4,310.4
1/1/2024,96.2,14.8,38.9,220.3
2/1/2024,140.3,1.9,9,100.3
3/1/2024,240.1,7.3,8.7,180.2
4/1/2024,243.2,49,44.3,250.4
5/1/2024,38,40.3,11.9,210.9
6/1/2024,44.7,25.8,20.6,110.1
7/1/2024,280.7,13.9,37,216.1
8/1/2024,121,8.4,48.7,121.6
9/1/2024,197.6,23.3,14.2,160.6
10/1/2024,171.3,39.7,37.7,160
11/1/2024,187.8,,,200.6
12/1/2024,4.1,11.6,5.7,300.2
1/1/2025,93.9,43.5,50.5,150.3
2/1/2025,149.8,1.3,24.3,100.1
3/1/2025,11.7,36.9,45.2,700.3
